LFQ intensity delta10G-1-3h	LFQ intensity delta10G-2-3h	LFQ intensity delta10G-3-3h	LFQ intensity wt-1-3h	LFQ intensity wt-2-3h	LFQ intensity wt-3-3h	Protein names	Gene names
29.49083	29.65508	29.37499	29.46416	29.75985	29.62655	Ribonuclease I	rna
28.47565	28.84697	28.52768	28.69932	28.78936	28.35018	Protein MalY;Cystathionine beta-lyase MalY;Maltose regulon modulator	malY
28.62697	29.03583	29.45758	28.6729	29.04968	28.73185	Glycerate 2-kinase	garK
33.81698	33.69167	33.49107	33.12027	33.6744	34.22884	Peptidyl-prolyl cis-trans isomerase B	ppiB
27.1048	27.50135	27.60428	27.54973	27.94481	27.68919	Ferrochelatase	hemH
28.48742	28.66387	28.8535	27.97766	28.12455	27.8685	Fructokinase	mak
31.11935	31.30992	31.77081	31.3638	30.78074	31.27625	Bifunctional protein FolD;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase	folD
30.85378	30.8572	31.03525	31.08715	30.90656	31.03348	Uncharacterized GTP-binding protein YjiA	yjiA
30.34319	30.72273	31.13087	30.6811	30.74887	30.89988	Tellurite methyltransferase	tehB
25.75496	26.48304	26.59974	25.44098	26.03168	26.12501	Lipopolysaccharide core biosynthesis protein RfaS	rfaS
28.51897	28.84023	28.3471	28.75258	28.73156	28.82028	"Lipopolysaccharide 1,3-galactosyltransferase"	rfaI
33.73792	34.09365	34.08623	34.36124	34.21422	34.47297	PTS system trehalose-specific EIIBC component;Trehalose-specific phosphotransferase enzyme IIB component;Trehalose permease IIC component	treB
27.15605	24.06365	26.56789	26.36167	26.45862	26.58205	D-xylose-binding periplasmic protein	xylF
29.64621	29.72962	29.98223	29.70695	29.61677	29.89793	Putative ribosome biogenesis GTPase RsgA	rsgA
29.27502	29.42436	29.37956	29.56959	29.88266	29.85539	Uncharacterized transcriptional regulator YjhU	yjhU
23.94449	24.09869	24.28778	26.32661	25.92852	25.06122	Ribonucleoside-diphosphate reductase 2 subunit alpha	nrdE
29.66748	29.40312	29.37753	28.97128	29.35962	29.64935	Uncharacterized oxidoreductase YgjR	ygjR
28.75557	28.91362	28.36407	28.71007	28.63527	28.9701	HTH-type transcriptional regulator HexR	hexR
27.7458	27.34739	27.50922	27.38204	27.40495	27.56384	tRNA(Ile)-lysidine synthase	tilS
31.63733	31.67156	31.23734	31.10162	31.42747	31.3626	Agmatinase	speB
31.40319	31.48188	31.10992	30.86666	31.42437	31.72781	UPF0325 protein YaeH	yaeH
29.4291	30.02855	29.51175	29.53078	30.09446	30.06124	7-carboxy-7-deazaguanine synthase	queE
30.26651	30.66289	30.6837	30.41206	30.28008	30.09245	UPF0001 protein YggS	yggS
35.30232	35.62159	35.44369	35.2759	35.2388	35.3597	50S ribosomal protein L25	rplY
28.76853	28.47429	28.68816	28.63641	28.40751	28.11163	"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"	ubiF
27.78419	27.84164	28.08775	27.93163	28.20074	27.3973	Uncharacterized protein YbjS	ybjS
27.04593	27.09989	26.85543	27.09738	27.13897	27.23754	Macrolide export protein MacA	macA
28.43504	28.67122	29.44731	29.02464	28.52028	28.90397	Glyoxylate/hydroxypyruvate reductase A	ghrA
29.45452	29.62471	29.40007	28.92207	29.36116	29.89145	Oxidoreductase YdhF	ydhF
27.80729	28.22711	28.65574	28.74842	29.08218	29.08972	D-cysteine desulfhydrase	dcyD
26.86124	23.62522	23.04155	22.66077	24.39754	24.92579	Uncharacterized protein YdhS	ydhS
26.81397	26.85638	26.16269	25.90419	26.43627	26.53634	Uncharacterized HTH-type transcriptional regulator YagI	yagI
26.15091	26.40269	26.7585	26.6309	27.02728	26.19114	Uncharacterized oxidoreductase YdgJ	ydgJ
29.84314	30.33596	30.08841	30.47141	30.32292	30.47112	Protein TonB	tonB
26.17356	28.25052	26.12003	23.98598	23.90316	24.09152	Flagellin	fliC
27.31008	27.47939	26.18552	26.44221	26.34961	27.3928	Cell division protein FtsQ	ftsQ
28.29767	29.09715	28.70094	28.61642	28.95174	29.04991	CDP-diacylglycerol pyrophosphatase	cdh
30.68445	30.63079	30.84491	30.87665	30.60355	30.80332	GTPase Era	era
29.40255	29.65898	29.5944	29.49406	29.47709	29.98278	D-alanine--D-alanine ligase B	ddlB
28.47958	28.08563	28.07893	27.83906	27.77052	28.25984	Ribonuclease D	rnd
29.20823	29.05515	29.05848	28.39358	28.66601	28.82675	Endonuclease 4	nfo
27.71332	27.11188	27.21197	25.42995	27.51803	25.80597	Cardiolipin synthase A	clsA
28.19559	28.84206	28.84344	28.42318	28.74179	28.52234	Thymidylate kinase	tmk
30.38515	30.6583	30.59005	30.68169	30.71309	30.6678	Putative N-acetylmannosamine-6-phosphate 2-epimerase	nanE
34.51577	34.51899	34.46063	34.82164	34.94192	35.10571	Inorganic pyrophosphatase	ppa
34.14756	34.12986	33.88867	34.05577	34.12494	34.11086	50S ribosomal protein L20	rplT
28.44249	28.79662	29.02596	28.90024	28.80098	28.79891	Tryptophan synthase alpha chain	trpA
29.49865	29.37034	29.15791	28.89261	29.12485	29.25874	Phosphoenolpyruvate synthase regulatory protein	ppsR
30.09597	30.21257	30.57651	30.2302	30.2092	30.19143	Transcriptional repressor NrdR	nrdR
24.31098	25.18067	26.77065	24.20127	23.68848	24.72083	Tyrosine recombinase XerD	xerD
27.95133	28.20886	28.61842	28.2674	28.21688	28.2826	Ribosomal-protein-alanine acetyltransferase	rimJ
33.03174	33.22116	33.09167	32.88985	33.29187	33.13409	KHG/KDPG aldolase;4-hydroxy-2-oxoglutarate aldolase;2-dehydro-3-deoxy-phosphogluconate aldolase	eda
31.77957	31.52776	31.55819	31.76513	31.76363	31.45949	Ferric uptake regulation protein	fur
28.626	28.29026	28.40908	28.35637	28.83331	28.63454	Transcriptional regulator ModE	modE
25.19862	25.75154	25.90164	25.3689	25.5381	25.57124	Uncharacterized ABC transporter ATP-binding protein YbhF	ybhF
29.14766	29.7071	29.29758	29.72392	30.00249	30.05349	HTH-type transcriptional regulator UlaR	ulaR
28.40418	28.5369	28.46949	28.28798	27.86207	29.05129	Protein QmcA	qmcA
31.4515	31.66513	31.48592	31.70812	32.03338	31.60598	"Probable L,D-transpeptidase YbiS"	ybiS
28.76958	28.73673	29.93705	28.91704	29.05121	28.69657	Bacterioferritin	bfr
27.88338	28.244	28.04051	28.11654	27.99981	28.16207	Cell division protein FtsX	ftsX
27.51525	27.30913	27.34045	26.83762	27.39477	26.82493	HTH-type transcriptional repressor RspR	rspR
28.22458	28.28864	27.91929	27.69332	28.34659	28.42166	HTH-type transcriptional repressor CytR	cytR
30.05427	30.37005	30.42772	30.43768	30.62732	30.62375	Transcriptional repressor MprA	mprA
28.71996	29.27551	29.28233	28.88221	29.06841	29.51292	Positive transcription regulator EvgA	evgA
28.08765	27.79866	28.40544	28.3122	28.55428	28.76319	Enterobactin synthase component B;Isochorismatase;Aryl carrier protein	entB
29.83646	30.0041	29.77172	29.85662	30.18553	29.89937	Class B acid phosphatase	aphA
33.73852	33.59768	33.66913	33.41941	33.86903	33.99766	3-oxoacyl-[acyl-carrier-protein] reductase FabG	fabG
31.70293	31.69046	31.93947	32.14974	31.92047	32.09276	Protein mrp	mrp
31.03597	31.10218	31.54632	31.26685	31.42897	31.57633	Nitrate/nitrite response regulator protein NarL	narL
26.55791	26.10117	26.20963	26.02354	26.22076	26.2573	Uncharacterized protein YjbB	yjbB
31.35484	31.8353	31.12417	31.68295	31.73174	31.43539	NADH-quinone oxidoreductase subunit E	nuoE
30.83726	30.90038	30.66246	30.25496	30.12263	30.41891	Putative GTP cyclohydrolase 1 type 2	ybgI
30.31603	30.05853	30.05595	29.90684	29.74842	29.86959	Uncharacterized protein YciO	yciO
28.31881	27.60647	27.64849	26.86938	26.9546	28.59509	Sigma-E factor regulatory protein RseB	rseB
30.31019	30.49047	30.5258	29.7084	30.33053	30.37327	Rare lipoprotein A	rlpA
30.87173	30.60214	31.19619	30.5037	31.01492	31.37726	Glutamine transport ATP-binding protein GlnQ	glnQ
30.26405	30.41498	30.02234	30.04908	29.80976	30.07214	Uracil-DNA glycosylase	ung
28.7879	26.80317	27.81409	26.82505	27.85001	28.10084	Pimeloyl-[acyl-carrier protein] methyl ester esterase	bioH
29.35212	29.91897	29.46203	29.73844	29.68942	29.90598	Anaerobic glycerol-3-phosphate dehydrogenase subunit B	glpB
26.80021	26.12285	26.27307	25.77776	26.3996	26.79067	DNA replication terminus site-binding protein	tus
27.48062	28.04156	27.84476	28.51345	28.73467	28.58595	Sulfate adenylyltransferase subunit 2	cysD
25.08784	26.44451	25.36102	23.42816	24.27704	25.8137	DNA polymerase II	polB
29.01377	28.9624	29.3542	28.94893	29.35307	29.67911	Putative outer membrane porin protein NmpC	nmpC
29.80756	29.26787	29.01406	29.36967	29.03792	29.35208	Non-specific ribonucleoside hydrolase RihC	rihC
26.66003	27.04145	27.25124	26.98479	26.5438	26.91582	Sensor protein PhoQ	phoQ
25.38159	26.14176	25.35696	25.45146	25.68059	25.64697	Protease 2	ptrB
26.06114	27.14462	27.04635	27.27275	26.98055	27.00592	HTH-type transcriptional regulator GalS	galS
27.68973	27.83087	27.71614	27.78107	27.63471	27.4722	"Lipopolysaccharide 1,6-galactosyltransferase"	rfaB
26.50918	24.70678	26.05312	28.2415	28.24245	28.35884	"Lipopolysaccharide 1,2-glucosyltransferase"	rfaJ
29.28496	29.52423	28.92694	29.01159	29.47929	29.43754	UPF0502 protein YceH	yceH
28.26879	27.82445	28.52847	28.01659	27.7893	27.79619	Uncharacterized oxidoreductase YbiC	ybiC
25.31634	26.06823	25.72156	26.13919	26.90104	25.93845	Putative molybdenum transport ATP-binding protein ModF	modF
31.03951	30.83936	30.67405	30.67749	30.76264	31.3462	3-mercaptopyruvate sulfurtransferase	sseA
27.14141	27.82317	28.22126	27.73286	28.13256	28.2641	Uncharacterized protein YidR	yidR
27.82262	27.61477	28.12726	27.52425	27.98016	27.90041	Thiamine-binding periplasmic protein	thiB
29.47427	29.47896	29.03026	29.52335	29.03583	29.13244	Uncharacterized HTH-type transcriptional regulator YihW	yihW
26.86195	25.84491	26.04147	26.78918	25.70451	25.77442	Multiphosphoryl transfer protein 2;Phosphoenolpyruvate-protein phosphotransferase;Phosphocarrier protein HPr;Fructose-like phosphotransferase enzyme IIA component	ptsA
28.01526	28.34482	28.04999	27.9354	28.32002	28.25133	Pseudouridine-5-phosphate glycosidase	psuG
28.36557	28.51443	28.59456	28.52055	28.6411	28.66641	Laccase domain protein YfiH	yfiH
27.21706	26.88623	27.32826	27.25988	27.48339	27.15528	tRNA 2-selenouridine synthase	selU
28.95873	29.84666	30.41488	28.89319	29.23064	29.65506	Protein SmtA	smtA
26.2463	26.68619	26.04849	26.98609	26.59861	26.49496	Uncharacterized chaperone protein YegD	yegD
28.39848	28.73509	28.29544	28.4449	28.75085	28.76208	Uncharacterized tRNA/rRNA methyltransferase LasT	lasT
26.73324	26.44346	27.00325	25.68523	26.59733	26.79266	Uncharacterized protein YhiN	yhiN
26.28828	26.28747	26.0861	26.30461	26.39112	26.12102	Protein BcsG homolog	bcsG
27.8776	27.64196	26.08702	27.03936	26.21854	27.67573	HTH-type transcriptional regulator YiaJ	yiaJ
30.30324	31.09522	31.13418	31.43231	31.40897	31.29712	dTDP-4-dehydrorhamnose reductase	rfbD
26.03729	24.9914	26.07431	25.19892	25.17653	26.09471	Tyrosine-protein kinase etk	etk
26.50529	26.08608	26.38451	25.07704	25.03699	25.00898	Quinone oxidoreductase 2	qorB
25.97812	26.95227	26.66384	26.56805	26.7304	26.91399	Altronate dehydratase	uxaA
27.44608	27.71849	27.69564	26.61302	27.45246	27.31501	UPF0597 protein YhaM	yhaM
26.27578	26.80514	27.03107	27.20424	27.17741	27.31933	Protein mlc	mlc
28.62669	28.58835	28.42438	28.45842	28.14039	28.0368	"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)"	ispU
32.83325	32.37992	32.68313	32.58085	32.64309	32.74511	Carbonic anhydrase 2	can
29.60783	30.11744	29.75247	29.29366	30.11781	30.00316	Uncharacterized lipoprotein YdcL	ydcL
27.22564	26.97924	25.80555	26.36035	26.53616	26.15989	DnaA regulatory inactivator Hda	hda
27.31424	27.21002	27.31008	26.94089	27.34274	27.90116	Putative diguanylate cyclase YeaJ	yeaJ
30.10262	29.60881	29.14693	28.63079	28.69813	28.6762	Pyridoxamine kinase	pdxY
28.21243	28.05579	28.33006	27.71122	28.18452	28.26213	Uncharacterized HTH-type transcriptional regulator YdcI	ydcI
29.68819	30.11966	29.99766	29.63322	30.02881	29.65828	Cell division protein ZipA	zipA
29.7858	29.62519	29.53059	29.0432	28.63807	28.93907	Uncharacterized protein YkgE	ykgE
27.50937	27.93061	28.18229	27.03737	28.11018	28.21044	Electron transport complex subunit RsxG	rsxG
31.0649	31.19695	31.58042	31.08074	31.64044	31.79316	Uncharacterized protein YbbN	ybbN
25.91875	26.11361	26.14207	25.67562	25.58474	24.49735	Cysteine desulfurase	sufS
26.20462	26.99615	26.40837	26.39979	27.13819	27.30713	FeS cluster assembly protein SufD	sufD
28.64667	28.54292	28.83213	28.65328	28.65612	27.36043	NMN amidohydrolase-like protein YfaY	yfaY
28.66834	28.14482	28.92541	28.30617	28.89712	28.50389	NADPH-dependent ferric-chelate reductase	yqjH
26.70504	26.09063	26.22869	24.57028	24.41912	25.74563	Glucarate dehydratase-related protein	gudX
26.54165	26.95626	26.41072	25.16373	27.18272	25.89403	Cysteine desulfurase CsdA	csdA
28.33108	27.66756	28.14555	27.93038	27.94581	28.14214	tRNA threonylcarbamoyladenosine dehydratase	tcdA
27.37435	27.44884	25.28157	27.87408	26.82784	27.02189	Bis(5-nucleosyl)-tetraphosphatase [symmetrical]	apaH
25.25314	25.21908	24.97482	25.31755	25.23637	24.46924	Evolved beta-galactosidase subunit alpha	ebgA
27.14987	27.14277	27.48139	26.94347	26.82043	26.54217	Iron(3+)-hydroxamate import ATP-binding protein FhuC	fhuC
27.67687	27.99776	28.00753	26.886	27.81017	27.41288	N5-carboxyaminoimidazole ribonucleotide synthase	purK
28.92598	28.13453	28.47053	28.07948	28.37277	28.73036	Ribosomal RNA small subunit methyltransferase G	rsmG
29.11379	28.55837	29.00357	28.74721	27.73337	27.94039	Maf-like protein YceF	yceF
31.65544	31.52818	31.82312	31.31516	31.50881	31.454	Peptide methionine sulfoxide reductase MsrB	msrB
28.83657	28.82805	29.06034	28.82545	28.75529	28.662	Protein-L-isoaspartate O-methyltransferase	pcm
26.19297	26.68619	26.159	26.7656	26.48299	26.54519	DNA replication and repair protein RecF	recF
30.61649	30.78222	30.86607	31.22992	30.97193	30.9481	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	ribB
33.65917	33.88066	33.59979	33.23392	33.90446	33.47303	50S ribosomal protein L7/L12	rplL
34.0916	34.11938	33.90131	33.91028	33.9321	34.0027	50S ribosomal protein L31	rpmE
34.80573	34.56133	34.77779	34.7063	34.56836	34.8605	30S ribosomal protein S12	rpsL
31.56697	31.50351	31.31598	30.73562	30.74647	30.98827	Ribosome maturation factor RimM	rimM
31.48913	31.76137	31.46354	31.20198	31.88129	32.26486	DNA-directed RNA polymerase subunit omega	rpoZ
29.18662	29.36236	29.27897	28.98623	29.24866	28.79588	tRNA (guanine-N(1)-)-methyltransferase	trmD
31.33368	31.60404	31.16357	30.17878	31.06894	30.73627	NAD(P)H dehydrogenase (quinone)	wrbA
29.34921	29.43231	29.07826	28.55994	29.09859	29.08752	Phosphatidylserine decarboxylase proenzyme;Phosphatidylserine decarboxylase alpha chain;Phosphatidylserine decarboxylase beta chain	psd
26.77254	26.74214	27.42174	26.75735	25.90495	26.52916	Tyrosine recombinase XerC	xerC
26.8197	27.59676	27.24826	27.317	26.77404	26.99841	Transcriptional regulator NanR	nanR
28.12687	28.30117	28.41022	28.2266	28.3517	28.49941	UPF0301 protein YqgE	yqgE
30.84034	30.66068	30.64057	30.42782	30.11942	30.12731	Sugar phosphatase YidA	yidA
34.16414	34.49244	34.26123	34.37347	34.78527	34.60769	Peptidoglycan-associated lipoprotein	pal
33.98532	33.92804	34.14186	34.08994	34.36919	33.9948	Outer membrane protein X	ompX
31.08398	31.61592	31.56088	31.52258	31.48611	31.81692	Pyrroline-5-carboxylate reductase	proC
30.04114	30.23009	30.45356	30.26372	30.39069	30.6571	Protein YrdA	yrdA
28.14448	28.32083	28.40105	28.25471	28.21859	28.39783	tRNA pseudouridine synthase C	truC
29.78659	29.64581	28.70583	29.16327	29.95947	29.07076	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	ybaK
26.26978	27.11396	26.77467	26.83413	27.00721	26.9764	Lipopolysaccharide assembly protein B	lapB
26.82881	27.10579	27.50597	27.66031	27.09848	26.849	FAD:protein FMN transferase	apbE
30.1262	29.8262	29.84154	29.44827	30.30465	30.31538	ATP synthase subunit b	atpF
25.1441	24.74186	25.78232	24.69221	25.05391	25.1723	Cytochrome c-type biogenesis protein CcmH	ccmH
28.23649	27.59021	27.06887	26.89087	26.53998	26.86927	Hydroxyacylglutathione hydrolase	gloB
32.61283	32.32879	32.36435	32.17033	32.55607	32.58786	DNA-binding protein StpA	stpA
24.54014	25.49872	24.41196	24.96825	25.17425	25.36078	Xylose operon regulatory protein	xylR
28.49152	27.1865	28.28052	27.68759	27.16442	27.54222	Putative aga operon transcriptional repressor	agaR
27.61049	27.90684	27.86697	27.4663	27.49572	27.37617	Uncharacterized HTH-type transcriptional regulator YegW	yegW
30.36181	30.08068	30.15726	29.48026	29.52268	30.07227	HTH-type transcriptional repressor AllR	allR
27.29702	26.9015	27.71476	27.42862	27.71699	27.68459	Sensor histidine kinase YehU	yehU
30.8657	31.35962	31.31991	31.14558	31.49276	31.37912	Murein hydrolase activator NlpD	nlpD
30.09585	30.34138	30.41226	30.08068	30.42672	30.21431	LPS-assembly lipoprotein LptE	lptE
29.8263	29.94754	29.97199	30.14589	30.12152	29.85972	Phosphogluconate dehydratase	edd
29.06805	29.03107	28.5787	29.26258	29.41298	29.37619	Flavin mononucleotide phosphatase YigB	yigB
28.94475	29.2656	29.07457	28.62174	29.0735	29.55832	Uncharacterized protein YggN	yggN
30.04192	29.86885	30.11719	29.93663	30.06497	30.03591	Protein CreA	creA
30.2617	30.07227	30.01956	26.89631	27.51104	27.26723	Nucleoside triphosphate pyrophosphohydrolase	mazG
30.30128	30.29516	30.58199	30.6241	30.25496	30.08271	Molybdopterin adenylyltransferase	mog
30.08373	30.36254	30.45101	30.42442	30.57786	30.95442	Ribonucleotide monophosphatase NagD	nagD
31.42677	31.70845	31.64873	31.3382	31.58464	31.50564	Riboflavin synthase	ribC
31.5028	31.30558	31.66915	31.10699	31.31392	31.27697	Negative modulator of initiation of replication	seqA
27.67398	27.62045	27.4153	26.17015	27.07999	27.16452	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	hisA
27.59092	28.24141	27.4592	28.2744	28.72136	28.02623	Glycerophosphoryl diester phosphodiesterase	ugpQ
25.68576	26.58319	25.97937	25.44503	25.81314	25.62221	Glycine betaine/L-proline transport ATP-binding protein ProV	proV
26.05891	26.20747	25.68568	25.31382	26.09943	26.56786	Acetate operon repressor	iclR
28.86523	28.80135	29.23544	28.78572	28.84954	29.10861	Uncharacterized protein YcaC	ycaC
25.62617	25.86945	25.4954	25.52925	25.39669	25.96036	Maltodextrin glucosidase	malZ
28.79826	28.13149	27.56906	28.14083	28.44995	28.4413	Chromosome partition protein MukE	mukE
29.11205	28.96039	29.29647	29.72897	29.33558	29.55448	Glutamate racemase	murI
29.8494	29.96596	30.02604	29.56919	29.66078	30.24864	5-keto-4-deoxy-D-glucarate aldolase	garL
24.85633	25.56305	26.46348	24.39139	25.21126	24.86934	Serine/threonine-protein kinase HipA	hipA
28.02818	28.06281	28.50703	27.58921	27.80458	28.22444	Acetylornithine deacetylase	argE
25.52928	25.31679	26.2981	25.11235	26.15971	25.95828	HTH-type transcriptional regulator AscG	ascG
28.89565	29.36782	29.36361	28.99259	29.40198	29.41375	Aldehyde reductase Ahr	ahr
25.96515	25.83268	26.34106	26.9526	26.13817	25.81426	DNA polymerase III subunit delta	holA
28.58552	28.91971	28.78329	28.39946	28.66316	28.89383	o-succinylbenzoate synthase	menC
28.24554	28.3506	28.12859	28.16792	27.97076	28.28705	Transcription elongation factor GreB	greB
26.24073	26.27571	26.35252	27.19413	27.39632	26.95538	Uncharacterized protein YihM	yihM
30.07648	29.32468	29.18686	29.17016	29.01624	29.20331	Cell division protein ZapD	zapD
28.26096	28.45928	27.90724	28.21859	28.17422	28.29268	23S rRNA (guanine(745)-N(1))-methyltransferase	rlmA
30.66025	30.65668	30.3687	30.34297	30.48424	30.40141	Probable lipoprotein YiaD	yiaD
27.15306	27.78887	27.2936	28.27013	27.9656	27.96466	Uncharacterized protein YibQ	yibQ
25.43847	25.1341	25.23714	25.21482	25.5743	25.38851	UPF0053 inner membrane protein YfjD	yfjD
29.36893	29.07253	29.77886	28.88757	29.0774	29.22094	High-affinity zinc uptake system protein ZnuA	znuA
29.82937	29.96623	29.87818	29.91428	29.69686	30.18364	FMN-dependent NADH-azoreductase	azoR
26.35911	25.87387	27.11386	26.83014	26.42108	26.43603	Uncharacterized protein YhfZ	yhfZ
32.03938	32.21124	32.27952	32.323	32.46127	32.32531	S-ribosylhomocysteine lyase	luxS
26.05805	26.90242	26.79154	27.09567	26.88577	26.79241	L-Ala-D/L-Glu epimerase	ycjG
29.51724	29.68767	29.46919	28.55157	29.09504	29.75463	dITP/XTP pyrophosphatase	rdgB
29.8538	29.79205	30.07661	30.00263	30.30596	30.0932	Transcriptional regulatory protein RstA	rstA
29.53423	29.11421	29.36922	29.13949	29.36522	29.66073	Glucitol/sorbitol-specific phosphotransferase enzyme IIB component	srlE
27.76421	27.64031	27.37964	27.71057	27.8282	27.95427	Putative transport protein YbjL	ybjL
30.27487	30.63876	30.52981	30.37171	30.56656	30.19777	Outer-membrane lipoprotein carrier protein	lolA
30.24059	30.27686	31.05304	30.03996	30.03276	30.54084	23S rRNA (guanosine-2-O-)-methyltransferase RlmB	rlmB
34.84875	34.68771	34.22439	34.42104	34.44116	33.95081	Glucose-specific phosphotransferase enzyme IIA component	crr
28.55248	29.45679	29.08924	29.26852	29.85533	29.37001	Probable 2-keto-3-deoxy-galactonate aldolase YagE	yagE
27.304	26.55346	26.64787	26.19381	26.91022	26.92252	Uncharacterized protein YbiU	ybiU
28.10844	27.43157	24.86759	24.64741	26.40433	26.51908	Ribosomal large subunit pseudouridine synthase E	rluE
23.82007	23.99964	25.24543	25.90433	25.1771	25.37398	Autoinducer 2-binding protein LsrB	lsrB
25.6277	24.57652	25.61798	26.09752	26.603	23.93805	N-succinylglutamate 5-semialdehyde dehydrogenase	astD
30.28273	30.34932	30.6678	30.56484	30.68971	30.999	Free methionine-R-sulfoxide reductase	msrC
26.74047	26.93517	26.25537	26.30102	26.62756	27.17997	Ribosomal RNA small subunit methyltransferase F	rsmF
24.71989	25.71476	24.87441	26.19798	26.17499	25.67912	Probable diguanylate cyclase YedQ	yedQ
25.61569	25.61316	25.75679	25.98841	25.6133	26.32487	Multidrug resistance protein MdtA	mdtA
25.7588	25.584	26.09146	25.87218	25.96175	25.81531	Guanine deaminase	guaD
27.4438	27.45552	26.54934	26.82104	27.69212	27.81323	Uncharacterized protein YniA	yniA
28.2321	28.3731	28.25241	28.45419	28.27795	28.50105	Epimerase family protein YfcH	yfcH
28.66594	28.76348	28.504	28.51484	28.79263	28.75532	Uncharacterized lipoprotein YgeR	ygeR
28.43114	28.668	28.52391	29.0368	28.96782	29.15911	Maltose transport system permease protein MalF	malF
28.45093	28.1955	28.20448	28.55179	28.51273	28.42069	Lactose operon repressor	lacI
31.00129	30.7382	30.92281	30.6213	30.87665	30.23786	Sorbitol-6-phosphate 2-dehydrogenase	srlD
30.16758	30.31257	29.96182	30.26349	30.2803	29.89579	Ribosomal RNA small subunit methyltransferase A	rsmA
24.22457	26.71803	25.17028	25.61938	26.46736	27.32174	Xylulose kinase	xylB
31.83861	31.12663	32.10543	32.2438	31.8181	31.94493	ATP-dependent Clp protease proteolytic subunit	clpP
27.79854	27.81623	27.64017	26.95327	27.29754	27.54848	Glutaminase 2	glsA2
28.01153	28.47862	28.00485	27.82214	27.96851	28.1822	Integration host factor subunit alpha	ihfA
33.63472	33.37062	32.86432	32.41511	33.87041	33.25926	Nucleoside diphosphate kinase	ndk
35.79692	35.63601	35.23948	35.58119	35.57085	35.10848	30S ribosomal protein S10	rpsJ
33.73196	34.36646	34.27434	34.50196	34.79687	34.74505	30S ribosomal protein S20	rpsT
32.71034	33.2671	33.34454	33.19554	33.63342	33.77028	Ribose-5-phosphate isomerase A	rpiA
26.67896	27.31683	27.32937	27.07694	27.25683	27.11416	Holliday junction ATP-dependent DNA helicase RuvB	ruvB
26.76281	26.94403	27.12918	27.25997	27.09215	27.12819	Sugar fermentation stimulation protein A	sfsA
28.45321	27.87848	27.81641	27.65622	27.81598	27.55852	5/3-nucleotidase SurE	surE
27.40957	27.21771	27.42262	27.18914	27.31268	27.53081	Ribonuclease BN	rbn
29.18683	29.17451	28.79318	28.73182	29.02179	28.73792	Fatty acid metabolism regulator protein	fadR
28.33739	28.85151	29.00255	28.95815	29.16875	29.08162	Protein YceI	yceI
31.59192	31.69814	31.94852	32.16564	31.98114	32.39663	MltA-interacting protein	mipA
28.17188	28.54679	28.79073	28.71787	28.88821	29.13741	L-asparaginase 1	ansA
29.4556	29.59308	29.41798	28.58581	29.34581	29.35578	G/U mismatch-specific DNA glycosylase	mug
30.57281	30.43966	30.75812	30.02565	30.55792	30.69909	Peptidyl-prolyl cis-trans isomerase C	ppiC
25.43876	25.81468	25.42522	26.33715	25.98331	26.03465	Gluconate 5-dehydrogenase	idnO
30.73562	30.39254	30.55133	29.90756	30.69329	30.44204	Nitrogen regulatory protein P-II 1	glnB
28.92892	29.5212	29.70449	29.08471	29.62859	29.40602	Uncharacterized protein YbeL	ybeL
29.3343	29.60339	29.36355	29.31246	29.26029	29.63133	Protein YcgL	ycgL
31.22066	31.04388	31.68879	31.13296	31.07718	30.94245	NAD(P) transhydrogenase subunit beta	pntB
27.58942	28.54642	28.68702	28.1547	28.49114	28.86293	Branched-chain-amino-acid aminotransferase	ilvE
29.93101	29.51286	29.94782	30.44322	30.53844	30.57317	Nitrogen regulatory protein P-II 2	glnK
29.69518	29.54995	29.65465	29.60419	29.39493	29.39362	Glutathione S-transferase GstB	gstB
29.3847	29.36605	29.49448	30.43092	30.16159	30.25597	Protein YeeZ	yeeZ
28.36545	26.19269	26.9729	24.63112	27.24291	24.35964	Octaprenyl-diphosphate synthase	ispB
30.65574	29.74442	30.21071	28.74185	28.5861	31.54986	Ribosomal RNA small subunit methyltransferase D	rsmD
34.01438	33.80962	33.58799	33.35468	33.58632	33.76515	50S ribosomal protein L16	rplP
33.64506	34.30857	34.1207	34.40147	34.62875	34.34804	30S ribosomal protein S15	rpsO
28.13252	28.25831	28.11103	28.05082	28.40751	28.61523	DNA replication protein DnaC	dnaC
29.18733	29.56462	29.31322	29.49825	29.57067	29.61526	Na(+)/H(+) antiporter NhaB	nhaB
31.21356	31.40933	30.82631	30.87848	31.68591	31.20011	Osmotically-inducible protein Y	osmY
35.11741	34.78595	34.9071	34.57085	34.50711	34.36235	50S ribosomal protein L30	rpmD
26.05277	26.76066	27.01839	25.92143	26.65103	26.2408	Nuclease SbcCD subunit D	sbcD
32.03911	32.21954	32.33018	32.18216	32.13644	32.30405	Protein translocase subunit SecY	secY
